URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/hims-patient,StructureDefinition/risk-behaviour-tobacco-smoker,StructureDefinition/hhims-composition,StructureDefinition/providers-location,StructureDefinition/hims-allergy-intolerance,StructureDefinition/bmi,StructureDefinition/hhims-patient,StructureDefinition/hims-weight,StructureDefinition/medical-history-hhims,StructureDefinition/investigations-task,StructureDefinition/fasting-blood-sugar,StructureDefinition/hims-target-facility-encounter,StructureDefinition/height,StructureDefinition/generic-service-request,StructureDefinition/investigations-request,StructureDefinition/drug-dispensation,StructureDefinition/medical-history-hims,StructureDefinition/generic-allergy-intolerance,StructureDefinition/generic-target-facility-encounter,StructureDefinition/follow-up-plan,StructureDefinition/total-cholesterol,StructureDefinition/generic-task,StructureDefinition/cvd-risk-category,StructureDefinition/hhims-allergy-intolerance,StructureDefinition/practitioner,StructureDefinition/procedure,StructureDefinition/hims-ips-bundle,StructureDefinition/medication-request,StructureDefinition/hhims-target-facility-encounter,StructureDefinition/random-blood-sugar,StructureDefinition/follow-up-at-hlc,StructureDefinition/hhims-transactional-bundle,StructureDefinition/generic-weight,StructureDefinition/hhims-ips-bundle,StructureDefinition/risk-behaviour-physical-activity,StructureDefinition/hhims-weight,StructureDefinition/imaging-request,StructureDefinition/organization,StructureDefinition/hims-transactional-bundle,StructureDefinition/generic-observation,StructureDefinition/general-referral-request,StructureDefinition/imaging-study,StructureDefinition/imaging-task,StructureDefinition/blood-pressure,StructureDefinition/notifiable-diseases-notified,StructureDefinition/no-medication-requested,StructureDefinition/referral-task,StructureDefinition/hims-composition","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/hims-patient,StructureDefinition/hhims-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/list-empty-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.322",ListEmptyReasons,List Empty Reasons,"General reasons for a list to be empty. Reasons are either related to a summary list (i.e. problem or medication list) or to a workflow related list (i.e. consultation list).","StructureDefinition/hhims-composition,StructureDefinition/hims-composition","THO"
http://hl7.org/fhir/ValueSet/list-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.318",ListMode,ListMode,"The processing mode that applies to this list.","StructureDefinition/hhims-composition,StructureDefinition/hims-composition","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/list-order,4.0.1,draft,"2.16.840.1.113883.4.642.3.324",ListOrderCodes,List Order Codes,"Base values for the order of the items in a list resource.","StructureDefinition/hhims-composition,StructureDefinition/hims-composition","THO"
http://hl7.org/fhir/ValueSet/location-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.330",LocationMode,LocationMode,"Indicates whether a resource instance represents a specific location or a class of locations.","StructureDefinition/providers-location","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/location-physical-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.328",LocationType,Location type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.","StructureDefinition/providers-location,StructureDefinition/hims-target-facility-encounter,StructureDefinition/hhims-target-facility-encounter,StructureDefinition/generic-target-facility-encounter","THO"
http://hl7.org/fhir/ValueSet/location-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.332",LocationStatus,LocationStatus,"Indicates whether the location is still in use.","StructureDefinition/providers-location","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/manifestation-or-symptom,4.0.1,draft,"2.16.840.1.113883.4.642.3.169",ManifestationAndSymptomCodes,Manifestation and Symptom Codes,"Example value set for Manifestation and Symptom codes.","StructureDefinition/medical-history-hims,StructureDefinition/medical-history-hhims","SCT"
http://hl7.org/fhir/ValueSet/marital-status,4.0.1,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/hims-patient,StructureDefinition/hhims-patient","THO (V3)"
